Mn_molar_fraction,Fe_molar_fraction,Co_molar_fraction,Ni_molar_fraction,Cu_molar_fraction,Ta_molar_fraction,overpotential_V
0.0,0.2,0.0,0.0,0.8,0.0,0.410387
0.2,0.4,0.2,0.0,0.2,0.0,0.407906
0.2,0.4,0.2,0.2,0.0,0.0,0.443038
0.6,0.0,0.2,0.0,0.0,0.2,0.461563
0.2,0.0,0.2,0.0,0.0,0.6,0.519138
0.0,0.0,0.2,0.0,0.2,0.6,0.458082
0.4,0.2,0.0,0.2,0.0,0.2,0.407111
0.2,0.2,0.0,0.2,0.0,0.4,0.4331529999999999
0.2,0.2,0.0,0.4,0.2,0.0,0.418017
0.0,0.0,0.0,1.0,0.0,0.0,0.465733
0.5,0.3,0.1,0.1,0.0,0.0,0.42837
0.3,0.2,0.0,0.0,0.2,0.3,0.397041
0.0,0.0,0.5,0.4,0.0,0.1,0.473868
0.6,0.0,0.0,0.1,0.0,0.3,0.4581449999999999
0.0,0.1,0.0,0.7,0.0,0.2,0.479966
0.0,0.0,0.7,0.2,0.0,0.1,0.492637
0.1,0.4,0.0,0.3,0.0,0.2,0.465761
0.4,0.4,0.2,0.0,0.0,0.0,0.374257
0.0,0.2,0.0,0.5,0.1,0.2,0.433745
0.3,0.4,0.0,0.0,0.2,0.1,0.395311
0.0,0.0,0.1,0.4,0.0,0.5,0.49145
0.4,0.4,0.0,0.0,0.2,0.0,0.393599
0.4,0.0,0.5,0.0,0.0,0.1,0.476793
0.2,0.0,0.3,0.0,0.3,0.2,0.460017
0.1,0.0,0.5,0.3,0.1,0.0,0.472397
0.0,0.1,0.1,0.3,0.0,0.5,0.453968
0.1,0.0,0.3,0.0,0.5,0.1,0.4259949999999999
0.2,0.0,0.3,0.3,0.2,0.0,0.445918
0.5,0.1,0.3,0.0,0.0,0.1,0.397554
0.6,0.0,0.3,0.1,0.0,0.0,0.468412
0.0,0.0,0.0,0.0,0.3,0.7,0.447082
0.1,0.0,0.0,0.5,0.4,0.0,0.4198949999999999
0.0,0.0,0.6,0.1,0.2,0.1,0.456574
0.2,0.0,0.2,0.5,0.0,0.1,0.463236
0.1,0.1,0.0,0.0,0.5,0.3,0.420772
0.1,0.0,0.0,0.2,0.1,0.6,0.461226
0.0,0.1,0.4,0.1,0.4,0.0,0.427058
0.1,0.1,0.0,0.2,0.6,0.0,0.416785
0.3,0.0,0.0,0.1,0.4,0.2,0.42949
0.1,0.3,0.4,0.0,0.0,0.2,0.450035
0.0,0.0,0.9,0.0,0.0,0.1,0.466872
0.1,0.1,0.0,0.0,0.6,0.2,0.4246859999999999
0.0,0.3,0.3,0.3,0.0,0.1,0.4612779999999999
0.0,0.4,0.3,0.1,0.2,0.0,0.432625
0.0,0.3,0.0,0.0,0.2,0.5,0.440145
0.2,0.0,0.1,0.0,0.3,0.4,0.453159
0.0,0.2,0.1,0.3,0.0,0.4,0.494518
0.0,0.0,0.0,0.0,1.0,0.0,0.428763
0.6,0.0,0.0,0.2,0.2,0.0,0.424406
0.0,0.0,0.0,0.0,0.0,1.0,0.497583
0.2,0.2,0.2,0.0,0.4,0.0,0.419104
0.0,0.0,0.2,0.6,0.2,0.0,0.431614
0.6,0.0,0.2,0.0,0.2,0.0,0.4293119999999999
0.0,0.8,0.2,0.0,0.0,0.0,0.4293689999999999
0.2,0.4,0.0,0.2,0.0,0.2,0.421495
0.0,0.6,0.2,0.0,0.0,0.2,0.462421
0.0,0.8,0.0,0.0,0.2,0.0,0.4320199999999999
0.0,0.0,0.2,0.2,0.2,0.4,0.464793
0.2,0.0,0.0,0.6,0.0,0.2,0.478761
0.2,0.0,0.6,0.2,0.0,0.0,0.486437
0.0,0.2,0.4,0.2,0.2,0.0,0.444362
0.2,0.2,0.4,0.2,0.0,0.0,0.4516979999999999
0.0,0.0,0.0,0.6,0.2,0.2,0.45201
0.6,0.2,0.2,0.0,0.0,0.0,0.38431
0.2,0.0,0.2,0.0,0.6,0.0,0.434623
0.0,0.6,0.2,0.2,0.0,0.0,0.4458439999999999
0.0,0.0,0.2,0.2,0.6,0.0,0.435243
0.0,0.4,0.2,0.2,0.2,0.0,0.434863
0.0,0.2,0.0,0.0,0.2,0.6,0.4531159999999999
0.2,0.2,0.0,0.4,0.0,0.2,0.444126
0.0,0.2,0.6,0.2,0.0,0.0,0.4594109999999999
0.2,0.0,0.0,0.6,0.2,0.0,0.4304979999999999
0.0,0.0,1.0,0.0,0.0,0.0,0.485883
0.0,0.0,0.1,0.1,0.1,0.7,0.4668989999999999
0.1,0.0,0.0,0.0,0.9,0.0,0.4343399999999999
0.2,0.3,0.0,0.4,0.1,0.0,0.42593
0.0,0.2,0.4,0.3,0.0,0.1,0.482987
0.0,0.6,0.2,0.1,0.1,0.0,0.4208729999999999
0.7,0.1,0.0,0.2,0.0,0.0,0.420089
0.3,0.3,0.0,0.2,0.0,0.2,0.402395
0.5,0.0,0.0,0.3,0.2,0.0,0.4160439999999999
0.4,0.1,0.4,0.0,0.1,0.0,0.391897
0.0,0.0,0.5,0.1,0.2,0.2,0.450164
0.2,0.1,0.4,0.0,0.3,0.0,0.4177949999999999
0.0,0.0,0.3,0.6,0.0,0.1,0.445184
0.2,0.3,0.2,0.0,0.3,0.0,0.40571
0.1,0.2,0.5,0.0,0.0,0.2,0.445518
0.3,0.0,0.4,0.0,0.0,0.3,0.494467
0.0,0.0,0.1,0.2,0.5,0.2,0.437393
0.3,0.2,0.0,0.0,0.5,0.0,0.400225
0.4,0.0,0.5,0.0,0.1,0.0,0.4445699999999999
0.0,0.0,0.0,0.7,0.2,0.1,0.430483
0.8,0.1,0.1,0.0,0.0,0.0,0.391028
0.0,0.1,0.8,0.0,0.1,0.0,0.425386
0.2,0.0,0.1,0.4,0.0,0.3,0.478916
0.4,0.4,0.0,0.0,0.0,0.2,0.398971
0.0,0.1,0.0,0.6,0.1,0.2,0.45305
0.0,0.5,0.1,0.0,0.0,0.4,0.475725
0.1,0.0,0.0,0.3,0.0,0.6,0.497639
0.1,0.5,0.2,0.2,0.0,0.0,0.437326
0.1,0.0,0.2,0.6,0.0,0.1,0.459156
0.0,0.1,0.1,0.0,0.2,0.6,0.4487739999999999
0.1,0.5,0.0,0.2,0.0,0.2,0.446659
0.1,0.0,0.1,0.0,0.3,0.5,0.450209
0.0,0.2,0.7,0.1,0.0,0.0,0.4520079999999999
0.7,0.0,0.3,0.0,0.0,0.0,0.427936
0.2,0.4,0.0,0.1,0.0,0.3,0.405119
0.7,0.0,0.0,0.1,0.0,0.2,0.444579
0.1,0.6,0.1,0.0,0.2,0.0,0.419485
0.2,0.0,0.0,0.5,0.0,0.3,0.479471
0.0,0.0,0.6,0.0,0.2,0.2,0.456413
0.0,0.2,0.0,0.4,0.2,0.2,0.437837
0.0,0.0,0.0,0.8,0.2,0.0,0.433321
0.0,0.2,0.2,0.4,0.2,0.0,0.429717
0.2,0.0,0.0,0.2,0.2,0.4,0.4265029999999999
0.2,0.0,0.2,0.0,0.4,0.2,0.4509689999999999
0.2,0.0,0.2,0.4,0.0,0.2,0.475531
0.0,0.2,0.2,0.4,0.0,0.2,0.4715609999999999
0.0,0.8,0.0,0.2,0.0,0.0,0.45253
0.2,0.2,0.0,0.0,0.0,0.6,0.43986
0.2,0.0,0.0,0.4,0.2,0.2,0.43672
0.0,0.0,0.2,0.2,0.0,0.6,0.509065
0.6,0.2,0.0,0.0,0.2,0.0,0.398974
0.0,0.0,0.0,0.0,0.2,0.8,0.456235
0.2,0.6,0.2,0.0,0.0,0.0,0.393706
0.2,0.2,0.6,0.0,0.0,0.0,0.403231
0.0,0.0,0.8,0.0,0.0,0.2,0.470649
0.0,0.2,0.6,0.0,0.0,0.2,0.4649439999999999
0.0,0.0,0.0,0.2,0.2,0.6,0.455376
0.0,0.2,0.8,0.0,0.0,0.0,0.421255
0.0,0.0,0.2,0.0,0.6,0.2,0.432405
0.0,1.0,0.0,0.0,0.0,0.0,0.445818
0.2,0.0,0.2,0.0,0.2,0.4,0.459634
0.0,0.2,0.0,0.0,0.0,0.8,0.505199
0.2,0.0,0.0,0.2,0.0,0.6,0.488588
0.2,0.2,0.0,0.2,0.4,0.0,0.421533
0.0,0.3,0.2,0.2,0.0,0.3,0.500218
0.5,0.0,0.3,0.0,0.1,0.1,0.442227
0.1,0.4,0.0,0.1,0.4,0.0,0.4195819999999999
0.1,0.1,0.3,0.0,0.0,0.5,0.489677
0.2,0.0,0.3,0.2,0.3,0.0,0.441838
0.0,0.1,0.0,0.2,0.7,0.0,0.414434
0.3,0.0,0.5,0.0,0.1,0.1,0.442554
0.3,0.0,0.1,0.0,0.1,0.5,0.454546
0.2,0.0,0.7,0.0,0.1,0.0,0.439188
0.1,0.0,0.7,0.1,0.1,0.0,0.45885
0.0,0.1,0.1,0.0,0.8,0.0,0.406302
0.0,0.0,0.4,0.2,0.1,0.3,0.4738729999999999
0.0,0.0,0.0,0.4,0.3,0.3,0.443626
0.0,0.0,0.2,0.4,0.0,0.4,0.486158
0.8,0.0,0.1,0.0,0.0,0.1,0.4432319999999999
0.7,0.2,0.0,0.1,0.0,0.0,0.389744
0.3,0.0,0.1,0.6,0.0,0.0,0.449957
0.0,0.1,0.2,0.0,0.6,0.1,0.4212439999999999
0.2,0.1,0.0,0.0,0.2,0.5,0.432039
0.0,0.4,0.1,0.5,0.0,0.0,0.434808
0.3,0.2,0.1,0.0,0.4,0.0,0.4127479999999999
0.5,0.2,0.0,0.0,0.0,0.3,0.398595
0.4,0.4,0.0,0.2,0.0,0.0,0.402962
0.0,0.4,0.3,0.0,0.0,0.3,0.4672779999999999
0.5,0.0,0.1,0.1,0.3,0.0,0.445593
0.4,0.1,0.4,0.0,0.0,0.1,0.424409
0.2,0.0,0.3,0.4,0.0,0.1,0.482704
0.0,0.0,0.7,0.1,0.0,0.2,0.493334
0.1,0.0,0.1,0.7,0.0,0.1,0.458227
0.4,0.5,0.0,0.0,0.1,0.0,0.387725
0.0,0.0,0.0,0.1,0.8,0.1,0.423577
0.0,0.5,0.0,0.2,0.2,0.1,0.417241
0.0,0.1,0.0,0.6,0.2,0.1,0.428909
0.2,0.0,0.2,0.5,0.1,0.0,0.444499
0.0,0.2,0.1,0.2,0.0,0.5,0.4904199999999999
0.0,0.1,0.0,0.5,0.0,0.4,0.4887359999999999
0.0,0.2,0.0,0.1,0.3,0.4,0.4369399999999999
0.2,0.0,0.2,0.4,0.2,0.0,0.4447109999999999
0.0,0.4,0.2,0.2,0.0,0.2,0.474701
0.2,0.0,0.0,0.2,0.6,0.0,0.4249529999999999
0.0,0.2,0.0,0.2,0.6,0.0,0.4128989999999999
0.0,0.0,0.0,0.0,0.8,0.2,0.425649
0.2,0.2,0.4,0.0,0.0,0.2,0.445971
0.0,0.2,0.6,0.0,0.2,0.0,0.420382
0.2,0.0,0.4,0.0,0.2,0.2,0.464341
0.2,0.2,0.0,0.0,0.6,0.0,0.41923
0.0,0.8,0.0,0.0,0.0,0.2,0.457214
0.2,0.0,0.8,0.0,0.0,0.0,0.4434149999999999
0.0,0.2,0.2,0.0,0.4,0.2,0.43093
0.2,0.6,0.0,0.0,0.0,0.2,0.405948
0.0,0.2,0.4,0.2,0.0,0.2,0.487887
0.6,0.0,0.0,0.0,0.2,0.2,0.429831
0.4,0.2,0.2,0.0,0.0,0.2,0.4303949999999999
0.6,0.0,0.0,0.2,0.0,0.2,0.462185
0.2,0.0,0.0,0.0,0.2,0.6,0.453735
0.0,0.0,0.2,0.0,0.0,0.8,0.536111
0.6,0.0,0.2,0.2,0.0,0.0,0.482993
0.0,0.2,0.0,0.2,0.4,0.2,0.4349409999999999
0.0,0.6,0.0,0.2,0.0,0.2,0.476371
0.0,0.6,0.2,0.0,0.2,0.0,0.429591
0.2,0.0,0.4,0.2,0.2,0.0,0.461493
0.2,0.0,0.4,0.2,0.0,0.2,0.509479
0.2,0.0,0.6,0.0,0.0,0.2,0.477888
0.5,0.0,0.0,0.2,0.2,0.1,0.4333909999999999
0.0,0.1,0.3,0.0,0.6,0.0,0.412358
0.0,0.0,0.0,0.8,0.1,0.1,0.452706
0.1,0.0,0.6,0.0,0.2,0.1,0.4584359999999999
0.0,0.0,0.6,0.3,0.0,0.1,0.493759
0.3,0.0,0.2,0.4,0.0,0.1,0.475827
0.1,0.0,0.3,0.0,0.2,0.4,0.46345
0.1,0.4,0.3,0.2,0.0,0.0,0.448578
0.3,0.0,0.5,0.0,0.0,0.2,0.47393
0.1,0.0,0.7,0.0,0.0,0.2,0.4979149999999999
0.0,0.1,0.2,0.2,0.0,0.5,0.489026
0.2,0.1,0.3,0.0,0.0,0.4,0.462942
0.2,0.3,0.0,0.0,0.1,0.4,0.40929
0.3,0.0,0.0,0.5,0.2,0.0,0.431015
0.0,0.2,0.0,0.3,0.2,0.3,0.439635
0.0,0.2,0.0,0.1,0.7,0.0,0.411585
0.0,0.0,0.1,0.2,0.1,0.6,0.464072
0.3,0.6,0.0,0.1,0.0,0.0,0.385206
0.0,0.3,0.3,0.1,0.0,0.3,0.474735
0.4,0.0,0.0,0.3,0.3,0.0,0.417693
0.4,0.5,0.0,0.0,0.0,0.1,0.387935
0.8,0.1,0.0,0.1,0.0,0.0,0.410749
0.5,0.1,0.0,0.3,0.1,0.0,0.412141
0.2,0.0,0.3,0.0,0.1,0.4,0.460996
0.5,0.1,0.0,0.0,0.1,0.3,0.403311
0.3,0.3,0.0,0.1,0.3,0.0,0.408117
0.0,0.0,0.0,0.3,0.6,0.1,0.4233689999999999
0.2,0.0,0.2,0.3,0.3,0.0,0.436663
0.3,0.6,0.0,0.0,0.1,0.0,0.390048
0.0,0.5,0.0,0.4,0.1,0.0,0.416213
0.1,0.3,0.0,0.0,0.2,0.4,0.412706
0.5,0.2,0.0,0.0,0.2,0.1,0.379411
0.0,0.0,0.0,0.3,0.2,0.5,0.444053
0.7,0.3,0.0,0.0,0.0,0.0,0.375267
0.1,0.5,0.0,0.1,0.3,0.0,0.4165029999999999
0.2,0.7,0.0,0.1,0.0,0.0,0.398644
0.7,0.0,0.0,0.3,0.0,0.0,0.4407399999999999
0.0,0.0,0.1,0.3,0.6,0.0,0.418655
0.0,0.6,0.0,0.0,0.0,0.4,0.465513
0.0,0.3,0.0,0.6,0.1,0.0,0.429572
0.1,0.0,0.3,0.0,0.1,0.5,0.454913
0.0,0.2,0.1,0.0,0.3,0.4,0.437986
0.1,0.0,0.1,0.0,0.7,0.1,0.432493
0.2,0.6,0.0,0.1,0.1,0.0,0.4017449999999999
0.0,0.4,0.3,0.0,0.3,0.0,0.416097
0.2,0.0,0.0,0.7,0.0,0.1,0.45031
0.3,0.0,0.3,0.0,0.0,0.4,0.483051
0.0,0.1,0.0,0.2,0.4,0.3,0.43841
0.0,0.2,0.0,0.0,0.1,0.7,0.456221
0.4,0.0,0.2,0.1,0.0,0.3,0.473308
0.0,0.0,0.0,0.5,0.3,0.2,0.447172
0.1,0.1,0.0,0.3,0.0,0.5,0.475182
0.0,0.1,0.6,0.2,0.1,0.0,0.451413
0.1,0.1,0.0,0.2,0.0,0.6,0.47048
0.3,0.3,0.0,0.0,0.1,0.3,0.409792
0.1,0.0,0.2,0.4,0.0,0.3,0.508931
0.0,0.4,0.1,0.0,0.3,0.2,0.439313
0.0,0.4,0.1,0.2,0.0,0.3,0.481113
0.2,0.1,0.6,0.0,0.0,0.1,0.4307359999999999
0.1,0.0,0.6,0.2,0.1,0.0,0.464888
0.0,0.5,0.0,0.0,0.3,0.2,0.432264
0.5,0.0,0.0,0.1,0.4,0.0,0.430793
0.3,0.0,0.0,0.2,0.4,0.1,0.431795
0.0,0.0,0.2,0.7,0.1,0.0,0.427459
0.0,0.4,0.1,0.0,0.4,0.1,0.415772
0.0,0.1,0.3,0.5,0.1,0.0,0.445463
0.0,0.2,0.0,0.4,0.0,0.4,0.4906939999999999
0.0,0.2,0.7,0.0,0.1,0.0,0.423654
0.0,0.2,0.7,0.0,0.0,0.1,0.447446
0.2,0.5,0.0,0.0,0.2,0.1,0.397889
0.1,0.0,0.4,0.0,0.0,0.5,0.4882689999999999
0.0,0.3,0.0,0.4,0.1,0.2,0.4519189999999999
0.5,0.1,0.2,0.2,0.0,0.0,0.467093
0.0,0.0,0.0,0.7,0.1,0.2,0.472963
0.1,0.8,0.0,0.0,0.1,0.0,0.399244
0.0,0.4,0.2,0.3,0.1,0.0,0.428148
0.0,0.3,0.2,0.0,0.4,0.1,0.418872
0.3,0.0,0.4,0.1,0.2,0.0,0.443683
0.0,0.0,0.5,0.4,0.1,0.0,0.451952
0.0,0.6,0.1,0.2,0.0,0.1,0.463818
0.0,0.2,0.1,0.4,0.3,0.0,0.412196
0.4,0.1,0.3,0.2,0.0,0.0,0.460593
0.3,0.0,0.3,0.1,0.0,0.3,0.498903
0.4,0.0,0.0,0.4,0.1,0.1,0.430514
0.2,0.1,0.0,0.1,0.6,0.0,0.418983
0.1,0.0,0.7,0.0,0.1,0.1,0.449421
0.7,0.1,0.0,0.0,0.1,0.1,0.408702
0.4,0.0,0.2,0.3,0.1,0.0,0.462077
0.5,0.0,0.0,0.0,0.0,0.5,0.459443
0.3,0.0,0.0,0.0,0.1,0.6,0.4490449999999999
0.3,0.0,0.0,0.0,0.3,0.4,0.432783
0.2,0.2,0.3,0.0,0.3,0.0,0.413851
0.5,0.1,0.3,0.0,0.1,0.0,0.405332
0.0,0.0,0.2,0.3,0.0,0.5,0.494357
0.0,0.4,0.5,0.1,0.0,0.0,0.4410729999999999
0.0,0.3,0.1,0.5,0.0,0.1,0.4582779999999999
0.0,0.1,0.3,0.6,0.0,0.0,0.429609
0.1,0.0,0.0,0.3,0.5,0.1,0.416759
0.0,0.4,0.3,0.1,0.0,0.2,0.4609689999999999
0.1,0.1,0.0,0.4,0.4,0.0,0.408396
0.1,0.0,0.0,0.5,0.2,0.2,0.440497
0.0,0.5,0.3,0.0,0.0,0.2,0.4601659999999999
0.2,0.0,0.0,0.1,0.1,0.6,0.451928
0.3,0.0,0.0,0.2,0.0,0.5,0.476097
0.0,0.0,0.2,0.5,0.0,0.3,0.479839
0.0,0.2,0.3,0.1,0.4,0.0,0.425829
