Mn_molar_fraction,Fe_molar_fraction,Co_molar_fraction,Ni_molar_fraction,La_molar_fraction,Ce_molar_fraction,overpotential_V
0.6,0.0,0.0,0.3,0.1,0.0,0.371772
0.3,0.5,0.0,0.1,0.0,0.1,0.3552889999999999
0.4,0.2,0.0,0.0,0.4,0.0,0.3616769999999999
0.5,0.1,0.0,0.1,0.3,0.0,0.362219
0.1,0.1,0.5,0.0,0.3,0.0,0.466579
0.0,0.2,0.0,0.6,0.1,0.1,0.4253479999999999
0.1,0.2,0.0,0.0,0.7,0.0,0.391576
0.5,0.2,0.1,0.2,0.0,0.0,0.358109
0.1,0.0,0.6,0.0,0.1,0.2,0.51139
0.2,0.1,0.1,0.6,0.0,0.0,0.393827
0.0,0.7,0.0,0.1,0.1,0.1,0.396371
0.0,0.0,0.1,0.2,0.4,0.3,0.436729
0.1,0.1,0.0,0.0,0.2,0.6,0.395978
0.3,0.1,0.0,0.0,0.4,0.2,0.367456
0.8,0.0,0.0,0.0,0.2,0.0,0.377283
0.2,0.4,0.2,0.0,0.0,0.2,0.393327
0.4,0.2,0.2,0.0,0.2,0.0,0.389135
0.0,0.0,0.0,0.2,0.0,0.8,0.428827
0.4,0.0,0.2,0.2,0.0,0.2,0.415023
0.2,0.2,0.2,0.0,0.0,0.4,0.389469
0.0,0.2,0.2,0.0,0.2,0.4,0.432452
0.2,0.0,0.2,0.2,0.0,0.4,0.418556
0.6,0.2,0.0,0.0,0.0,0.2,0.362666
0.6,0.2,0.0,0.2,0.0,0.0,0.3619699999999999
0.0,0.0,0.2,0.4,0.2,0.2,0.45579
0.0,0.0,0.6,0.2,0.2,0.0,0.427605
0.0,0.2,0.2,0.0,0.0,0.6,0.432992
0.2,0.2,0.0,0.6,0.0,0.0,0.406157
0.0,0.2,0.0,0.2,0.0,0.6,0.41096
0.2,0.6,0.0,0.2,0.0,0.0,0.369415
0.8,0.0,0.2,0.0,0.0,0.0,0.392278
0.4,0.0,0.0,0.2,0.2,0.2,0.389301
0.2,0.0,0.0,0.0,0.6,0.2,0.385762
0.4,0.0,0.2,0.2,0.2,0.0,0.411322
0.0,0.0,0.0,0.8,0.0,0.2,0.536287
0.0,0.0,0.2,0.8,0.0,0.0,0.556696
0.0,0.2,0.2,0.2,0.4,0.0,0.368582
0.2,0.2,0.4,0.0,0.2,0.0,0.405806
0.2,0.0,0.0,0.2,0.4,0.2,0.398954
0.4,0.0,0.2,0.0,0.2,0.2,0.421284
0.1,0.4,0.0,0.0,0.0,0.5,0.389334
0.2,0.7,0.1,0.0,0.0,0.0,0.37058
0.0,0.4,0.0,0.0,0.1,0.5,0.454059
0.0,0.0,0.4,0.4,0.1,0.1,0.459136
0.0,0.3,0.0,0.2,0.4,0.1,0.421692
0.4,0.0,0.0,0.3,0.1,0.2,0.4389229999999999
0.3,0.0,0.3,0.2,0.2,0.0,0.416455
0.0,0.0,0.4,0.0,0.5,0.1,0.40956
0.6,0.3,0.0,0.0,0.0,0.1,0.353873
0.4,0.0,0.0,0.6,0.0,0.0,0.392448
0.0,0.3,0.4,0.2,0.1,0.0,0.453542
0.0,0.1,0.7,0.0,0.0,0.2,0.435644
0.0,0.1,0.1,0.1,0.0,0.7,0.473222
0.5,0.1,0.1,0.3,0.0,0.0,0.384216
0.0,0.2,0.3,0.5,0.0,0.0,0.5138
0.5,0.2,0.3,0.0,0.0,0.0,0.408155
0.4,0.1,0.0,0.0,0.3,0.2,0.369848
0.1,0.2,0.2,0.5,0.0,0.0,0.433376
0.5,0.1,0.1,0.0,0.0,0.3,0.379891
0.4,0.0,0.0,0.0,0.6,0.0,0.388183
0.1,0.0,0.0,0.4,0.3,0.2,0.434484
0.2,0.0,0.0,0.3,0.0,0.5,0.395859
0.3,0.1,0.2,0.0,0.0,0.4,0.386092
0.6,0.1,0.1,0.0,0.2,0.0,0.359856
0.4,0.1,0.2,0.0,0.3,0.0,0.387792
0.5,0.0,0.1,0.3,0.0,0.1,0.401174
0.3,0.1,0.4,0.0,0.0,0.2,0.410992
0.1,0.0,0.4,0.0,0.2,0.3,0.441783
0.1,0.5,0.3,0.1,0.0,0.0,0.411041
0.0,0.1,0.0,0.5,0.2,0.2,0.437384
0.2,0.0,0.5,0.2,0.1,0.0,0.485118
0.1,0.0,0.5,0.0,0.3,0.1,0.4442779999999999
0.5,0.0,0.0,0.0,0.4,0.1,0.384845
0.0,0.6,0.3,0.0,0.0,0.1,0.424967
0.0,0.4,0.5,0.0,0.1,0.0,0.433133
0.0,0.5,0.1,0.4,0.0,0.0,0.410027
0.2,0.0,0.0,0.4,0.0,0.4,0.441036
0.0,0.0,0.8,0.2,0.0,0.0,0.494179
0.0,0.0,0.2,0.0,0.8,0.0,0.418516
0.2,0.0,0.0,0.0,0.8,0.0,0.421227
0.2,0.0,0.2,0.2,0.4,0.0,0.385279
0.0,0.6,0.0,0.0,0.2,0.2,0.409107
0.8,0.0,0.0,0.0,0.0,0.2,0.401629
0.0,0.4,0.0,0.2,0.2,0.2,0.4026619999999999
0.2,0.0,0.0,0.0,0.0,0.8,0.408688
0.0,0.4,0.2,0.0,0.2,0.2,0.401062
0.0,0.2,0.0,0.6,0.0,0.2,0.4578149999999999
0.0,0.0,0.6,0.2,0.0,0.2,0.540292
0.2,0.2,0.2,0.4,0.0,0.0,0.379359
0.2,0.2,0.0,0.0,0.2,0.4,0.386306
0.0,0.2,0.0,0.2,0.2,0.4,0.421259
0.8,0.2,0.0,0.0,0.0,0.0,0.372498
0.2,0.0,0.6,0.0,0.2,0.0,0.464485
0.0,0.2,0.0,0.0,0.8,0.0,0.391588
0.2,0.4,0.2,0.0,0.2,0.0,0.392784
0.2,0.4,0.2,0.2,0.0,0.0,0.3644239999999999
0.6,0.0,0.2,0.0,0.0,0.2,0.3978489999999999
0.2,0.0,0.2,0.0,0.0,0.6,0.398081
0.0,0.0,0.2,0.0,0.2,0.6,0.438584
0.4,0.2,0.0,0.2,0.0,0.2,0.3634409999999999
0.2,0.2,0.0,0.2,0.0,0.4,0.393507
0.2,0.2,0.0,0.4,0.2,0.0,0.3741739999999999
0.0,0.0,0.0,1.0,0.0,0.0,0.7462270000000001
0.5,0.3,0.1,0.1,0.0,0.0,0.364649
0.3,0.2,0.0,0.0,0.2,0.3,0.371696
0.0,0.0,0.5,0.4,0.0,0.1,0.440113
0.6,0.0,0.0,0.1,0.0,0.3,0.433885
0.0,0.1,0.0,0.7,0.0,0.2,0.462252
0.0,0.0,0.7,0.2,0.0,0.1,0.4391489999999999
0.1,0.4,0.0,0.3,0.0,0.2,0.39678
0.4,0.4,0.2,0.0,0.0,0.0,0.373372
0.0,0.2,0.0,0.5,0.1,0.2,0.432062
0.3,0.4,0.0,0.0,0.2,0.1,0.367285
0.0,0.0,0.1,0.4,0.0,0.5,0.494006
0.4,0.4,0.0,0.0,0.2,0.0,0.370314
0.4,0.0,0.5,0.0,0.0,0.1,0.442358
0.2,0.0,0.3,0.0,0.3,0.2,0.443213
0.1,0.0,0.5,0.3,0.1,0.0,0.492967
0.0,0.1,0.1,0.3,0.0,0.5,0.498275
0.1,0.0,0.3,0.0,0.5,0.1,0.422308
0.2,0.0,0.3,0.3,0.2,0.0,0.413574
0.5,0.1,0.3,0.0,0.0,0.1,0.393198
0.6,0.0,0.3,0.1,0.0,0.0,0.412412
0.0,0.0,0.0,0.0,0.3,0.7,0.460053
0.1,0.0,0.0,0.5,0.4,0.0,0.39768
0.0,0.0,0.6,0.1,0.2,0.1,0.439384
0.2,0.0,0.2,0.5,0.0,0.1,0.507677
0.1,0.1,0.0,0.0,0.5,0.3,0.391872
0.1,0.0,0.0,0.2,0.1,0.6,0.384869
0.0,0.1,0.4,0.1,0.4,0.0,0.427899
0.1,0.1,0.0,0.2,0.6,0.0,0.387455
0.3,0.0,0.0,0.1,0.4,0.2,0.38273
0.1,0.3,0.4,0.0,0.0,0.2,0.417433
0.0,0.0,0.9,0.0,0.0,0.1,0.527526
0.1,0.1,0.0,0.0,0.6,0.2,0.389305
0.0,0.3,0.3,0.3,0.0,0.1,0.4369689999999999
0.0,0.4,0.3,0.1,0.2,0.0,0.3900949999999999
0.0,0.3,0.0,0.0,0.2,0.5,0.408534
0.2,0.0,0.1,0.0,0.3,0.4,0.410962
0.0,0.2,0.1,0.3,0.0,0.4,0.4853449999999999
0.0,0.0,0.0,0.0,1.0,0.0,0.425417
0.6,0.0,0.0,0.2,0.2,0.0,0.390825
0.0,0.0,0.0,0.0,0.0,1.0,0.516629
0.2,0.2,0.2,0.0,0.4,0.0,0.393866
0.0,0.0,0.2,0.6,0.2,0.0,0.398809
0.6,0.0,0.2,0.0,0.2,0.0,0.384269
0.0,0.8,0.2,0.0,0.0,0.0,0.410959
0.2,0.4,0.0,0.2,0.0,0.2,0.372496
0.0,0.6,0.2,0.0,0.0,0.2,0.419122
0.0,0.8,0.0,0.0,0.2,0.0,0.413309
0.0,0.0,0.2,0.2,0.2,0.4,0.4587029999999999
0.2,0.0,0.0,0.6,0.0,0.2,0.5046069999999999
0.2,0.0,0.6,0.2,0.0,0.0,0.450979
0.0,0.2,0.4,0.2,0.2,0.0,0.408177
0.2,0.2,0.4,0.2,0.0,0.0,0.400702
0.0,0.0,0.0,0.6,0.2,0.2,0.453651
0.6,0.2,0.2,0.0,0.0,0.0,0.365318
0.2,0.0,0.2,0.0,0.6,0.0,0.4166689999999999
0.0,0.6,0.2,0.2,0.0,0.0,0.401074
0.0,0.0,0.2,0.2,0.6,0.0,0.404889
0.0,0.4,0.2,0.2,0.2,0.0,0.370068
0.0,0.2,0.0,0.0,0.2,0.6,0.419995
0.2,0.2,0.0,0.4,0.0,0.2,0.401551
0.0,0.2,0.6,0.2,0.0,0.0,0.491234
0.2,0.0,0.0,0.6,0.2,0.0,0.382337
0.0,0.0,1.0,0.0,0.0,0.0,0.478364
0.0,0.0,0.1,0.1,0.1,0.7,0.427831
0.1,0.0,0.0,0.0,0.9,0.0,0.434714
0.2,0.3,0.0,0.4,0.1,0.0,0.372146
0.0,0.2,0.4,0.3,0.0,0.1,0.4688739999999999
0.0,0.6,0.2,0.1,0.1,0.0,0.38737
0.7,0.1,0.0,0.2,0.0,0.0,0.366525
0.3,0.3,0.0,0.2,0.0,0.2,0.366296
0.5,0.0,0.0,0.3,0.2,0.0,0.38668
0.4,0.1,0.4,0.0,0.1,0.0,0.419364
0.0,0.0,0.5,0.1,0.2,0.2,0.50629
0.2,0.1,0.4,0.0,0.3,0.0,0.4242149999999999
0.0,0.0,0.3,0.6,0.0,0.1,0.635603
0.2,0.3,0.2,0.0,0.3,0.0,0.403334
0.1,0.2,0.5,0.0,0.0,0.2,0.4794779999999999
0.3,0.0,0.4,0.0,0.0,0.3,0.483283
0.0,0.0,0.1,0.2,0.5,0.2,0.40119
0.3,0.2,0.0,0.0,0.5,0.0,0.386701
0.4,0.0,0.5,0.0,0.1,0.0,0.458906
0.0,0.0,0.0,0.7,0.2,0.1,0.418755
0.8,0.1,0.1,0.0,0.0,0.0,0.353377
0.0,0.1,0.8,0.0,0.1,0.0,0.474137
0.2,0.0,0.1,0.4,0.0,0.3,0.418325
0.4,0.4,0.0,0.0,0.0,0.2,0.351561
0.0,0.1,0.0,0.6,0.1,0.2,0.4661439999999999
0.0,0.5,0.1,0.0,0.0,0.4,0.4365229999999999
0.1,0.0,0.0,0.3,0.0,0.6,0.3744099999999999
0.1,0.5,0.2,0.2,0.0,0.0,0.3816199999999999
0.1,0.0,0.2,0.6,0.0,0.1,0.514452
0.0,0.1,0.1,0.0,0.2,0.6,0.391671
0.1,0.5,0.0,0.2,0.0,0.2,0.389584
0.1,0.0,0.1,0.0,0.3,0.5,0.410783
0.0,0.2,0.7,0.1,0.0,0.0,0.479084
0.7,0.0,0.3,0.0,0.0,0.0,0.380669
0.2,0.4,0.0,0.1,0.0,0.3,0.3624199999999999
0.7,0.0,0.0,0.1,0.0,0.2,0.382088
0.1,0.6,0.1,0.0,0.2,0.0,0.385725
0.2,0.0,0.0,0.5,0.0,0.3,0.453381
0.0,0.0,0.6,0.0,0.2,0.2,0.459188
0.0,0.2,0.0,0.4,0.2,0.2,0.42677
0.0,0.0,0.0,0.8,0.2,0.0,0.400964
0.0,0.2,0.2,0.4,0.2,0.0,0.364923
0.2,0.0,0.0,0.2,0.2,0.4,0.413808
0.2,0.0,0.2,0.0,0.4,0.2,0.41356
0.2,0.0,0.2,0.4,0.0,0.2,0.461906
0.0,0.2,0.2,0.4,0.0,0.2,0.481955
0.0,0.8,0.0,0.2,0.0,0.0,0.402409
0.2,0.2,0.0,0.0,0.0,0.6,0.3900659999999999
0.2,0.0,0.0,0.4,0.2,0.2,0.418352
0.0,0.0,0.2,0.2,0.0,0.6,0.5029859999999999
0.6,0.2,0.0,0.0,0.2,0.0,0.374345
0.0,0.0,0.0,0.0,0.2,0.8,0.431584
0.2,0.6,0.2,0.0,0.0,0.0,0.388822
0.2,0.2,0.6,0.0,0.0,0.0,0.4111399999999999
0.0,0.0,0.8,0.0,0.0,0.2,0.529479
0.0,0.2,0.6,0.0,0.0,0.2,0.485993
0.0,0.0,0.0,0.2,0.2,0.6,0.415257
0.0,0.2,0.8,0.0,0.0,0.0,0.473152
0.0,0.0,0.2,0.0,0.6,0.2,0.434503
0.0,1.0,0.0,0.0,0.0,0.0,0.4485699999999999
0.2,0.0,0.2,0.0,0.2,0.4,0.418021
0.0,0.2,0.0,0.0,0.0,0.8,0.515112
0.2,0.0,0.0,0.2,0.0,0.6,0.403284
0.2,0.2,0.0,0.2,0.4,0.0,0.382889
0.0,0.3,0.2,0.2,0.0,0.3,0.445838
0.5,0.0,0.3,0.0,0.1,0.1,0.416199
0.1,0.4,0.0,0.1,0.4,0.0,0.390238
0.1,0.1,0.3,0.0,0.0,0.5,0.403356
0.2,0.0,0.3,0.2,0.3,0.0,0.4202899999999999
0.0,0.1,0.0,0.2,0.7,0.0,0.394723
0.3,0.0,0.5,0.0,0.1,0.1,0.487206
0.3,0.0,0.1,0.0,0.1,0.5,0.435816
0.2,0.0,0.7,0.0,0.1,0.0,0.541853
0.1,0.0,0.7,0.1,0.1,0.0,0.538976
0.0,0.1,0.1,0.0,0.8,0.0,0.395182
0.0,0.0,0.4,0.2,0.1,0.3,0.483912
0.0,0.0,0.0,0.4,0.3,0.3,0.424069
0.0,0.0,0.2,0.4,0.0,0.4,0.479672
0.8,0.0,0.1,0.0,0.0,0.1,0.4112449999999999
0.7,0.2,0.0,0.1,0.0,0.0,0.340468
0.3,0.0,0.1,0.6,0.0,0.0,0.453327
0.0,0.1,0.2,0.0,0.6,0.1,0.403719
0.2,0.1,0.0,0.0,0.2,0.5,0.3877219999999999
0.0,0.4,0.1,0.5,0.0,0.0,0.433022
0.3,0.2,0.1,0.0,0.4,0.0,0.36499
0.5,0.2,0.0,0.0,0.0,0.3,0.357659
0.4,0.4,0.0,0.2,0.0,0.0,0.345217
0.0,0.4,0.3,0.0,0.0,0.3,0.447779
0.5,0.0,0.1,0.1,0.3,0.0,0.384979
0.4,0.1,0.4,0.0,0.0,0.1,0.397798
0.2,0.0,0.3,0.4,0.0,0.1,0.478604
0.0,0.0,0.7,0.1,0.0,0.2,0.486371
0.1,0.0,0.1,0.7,0.0,0.1,0.45405
0.4,0.5,0.0,0.0,0.1,0.0,0.372226
0.0,0.0,0.0,0.1,0.8,0.1,0.405143
0.0,0.5,0.0,0.2,0.2,0.1,0.38699
0.0,0.1,0.0,0.6,0.2,0.1,0.4258659999999999
0.2,0.0,0.2,0.5,0.1,0.0,0.389221
0.0,0.2,0.1,0.2,0.0,0.5,0.46192
0.0,0.1,0.0,0.5,0.0,0.4,0.461197
0.0,0.2,0.0,0.1,0.3,0.4,0.40344
0.2,0.0,0.2,0.4,0.2,0.0,0.37316
0.0,0.4,0.2,0.2,0.0,0.2,0.442214
0.2,0.0,0.0,0.2,0.6,0.0,0.400456
0.0,0.2,0.0,0.2,0.6,0.0,0.388923
0.0,0.0,0.0,0.0,0.8,0.2,0.425508
0.2,0.2,0.4,0.0,0.0,0.2,0.4219569999999999
0.0,0.2,0.6,0.0,0.2,0.0,0.437639
0.2,0.0,0.4,0.0,0.2,0.2,0.459539
0.2,0.2,0.0,0.0,0.6,0.0,0.393882
0.0,0.8,0.0,0.0,0.0,0.2,0.4676619999999999
0.2,0.0,0.8,0.0,0.0,0.0,0.5028020000000001
0.0,0.2,0.2,0.0,0.4,0.2,0.406466
0.2,0.6,0.0,0.0,0.0,0.2,0.381156
0.0,0.2,0.4,0.2,0.0,0.2,0.4952649999999999
0.6,0.0,0.0,0.0,0.2,0.2,0.398956
0.4,0.2,0.2,0.0,0.0,0.2,0.361164
0.6,0.0,0.0,0.2,0.0,0.2,0.409026
0.2,0.0,0.0,0.0,0.2,0.6,0.41229
0.0,0.0,0.2,0.0,0.0,0.8,0.608159
0.6,0.0,0.2,0.2,0.0,0.0,0.399844
0.0,0.2,0.0,0.2,0.4,0.2,0.4226899999999999
0.0,0.6,0.0,0.2,0.0,0.2,0.4357279999999999
0.0,0.6,0.2,0.0,0.2,0.0,0.402004
0.2,0.0,0.4,0.2,0.2,0.0,0.4385409999999999
0.2,0.0,0.4,0.2,0.0,0.2,0.497772
0.2,0.0,0.6,0.0,0.0,0.2,0.496432
0.5,0.0,0.0,0.2,0.2,0.1,0.400852
0.0,0.1,0.3,0.0,0.6,0.0,0.426695
0.0,0.0,0.0,0.8,0.1,0.1,0.478625
0.1,0.0,0.6,0.0,0.2,0.1,0.526149
0.0,0.0,0.6,0.3,0.0,0.1,0.63841
0.3,0.0,0.2,0.4,0.0,0.1,0.540329
0.1,0.0,0.3,0.0,0.2,0.4,0.431422
0.1,0.4,0.3,0.2,0.0,0.0,0.412523
0.3,0.0,0.5,0.0,0.0,0.2,0.5211640000000001
0.1,0.0,0.7,0.0,0.0,0.2,0.507156
0.0,0.1,0.2,0.2,0.0,0.5,0.5868760000000001
0.2,0.1,0.3,0.0,0.0,0.4,0.423402
0.2,0.3,0.0,0.0,0.1,0.4,0.377527
0.3,0.0,0.0,0.5,0.2,0.0,0.383126
0.0,0.2,0.0,0.3,0.2,0.3,0.454163
0.0,0.2,0.0,0.1,0.7,0.0,0.3907199999999999
0.0,0.0,0.1,0.2,0.1,0.6,0.439374
0.3,0.6,0.0,0.1,0.0,0.0,0.360998
0.0,0.3,0.3,0.1,0.0,0.3,0.475102
0.4,0.0,0.0,0.3,0.3,0.0,0.373614
0.4,0.5,0.0,0.0,0.0,0.1,0.359878
0.8,0.1,0.0,0.1,0.0,0.0,0.348381
0.5,0.1,0.0,0.3,0.1,0.0,0.369706
0.2,0.0,0.3,0.0,0.1,0.4,0.4171689999999999
0.5,0.1,0.0,0.0,0.1,0.3,0.36735
0.3,0.3,0.0,0.1,0.3,0.0,0.367137
0.0,0.0,0.0,0.3,0.6,0.1,0.40428
0.2,0.0,0.2,0.3,0.3,0.0,0.371965
0.3,0.6,0.0,0.0,0.1,0.0,0.375372
0.0,0.5,0.0,0.4,0.1,0.0,0.390588
0.1,0.3,0.0,0.0,0.2,0.4,0.390138
0.5,0.2,0.0,0.0,0.2,0.1,0.356815
0.0,0.0,0.0,0.3,0.2,0.5,0.409772
0.7,0.3,0.0,0.0,0.0,0.0,0.375059
0.1,0.5,0.0,0.1,0.3,0.0,0.3841449999999999
0.2,0.7,0.0,0.1,0.0,0.0,0.376103
0.7,0.0,0.0,0.3,0.0,0.0,0.385024
0.0,0.0,0.1,0.3,0.6,0.0,0.3740949999999999
0.0,0.6,0.0,0.0,0.0,0.4,0.464533
0.0,0.3,0.0,0.6,0.1,0.0,0.397285
0.1,0.0,0.3,0.0,0.1,0.5,0.412196
0.0,0.2,0.1,0.0,0.3,0.4,0.421071
0.1,0.0,0.1,0.0,0.7,0.1,0.401155
0.2,0.6,0.0,0.1,0.1,0.0,0.37435
0.0,0.4,0.3,0.0,0.3,0.0,0.4113739999999999
0.2,0.0,0.0,0.7,0.0,0.1,0.46134
0.3,0.0,0.3,0.0,0.0,0.4,0.4500119999999999
0.0,0.1,0.0,0.2,0.4,0.3,0.420397
0.0,0.2,0.0,0.0,0.1,0.7,0.420775
0.4,0.0,0.2,0.1,0.0,0.3,0.4446779999999999
0.0,0.0,0.0,0.5,0.3,0.2,0.4452109999999999
0.1,0.1,0.0,0.3,0.0,0.5,0.401122
0.0,0.1,0.6,0.2,0.1,0.0,0.470784
0.1,0.1,0.0,0.2,0.0,0.6,0.399893
0.3,0.3,0.0,0.0,0.1,0.3,0.3620219999999999
0.1,0.0,0.2,0.4,0.0,0.3,0.450928
0.0,0.4,0.1,0.0,0.3,0.2,0.38868
0.0,0.4,0.1,0.2,0.0,0.3,0.435911
0.2,0.1,0.6,0.0,0.0,0.1,0.4449439999999999
0.1,0.0,0.6,0.2,0.1,0.0,0.467076
0.0,0.5,0.0,0.0,0.3,0.2,0.404798
0.5,0.0,0.0,0.1,0.4,0.0,0.391102
0.3,0.0,0.0,0.2,0.4,0.1,0.392355
0.0,0.0,0.2,0.7,0.1,0.0,0.433264
0.0,0.4,0.1,0.0,0.4,0.1,0.385968
0.0,0.1,0.3,0.5,0.1,0.0,0.410513
0.0,0.2,0.0,0.4,0.0,0.4,0.474189
0.0,0.2,0.7,0.0,0.1,0.0,0.460777
0.0,0.2,0.7,0.0,0.0,0.1,0.482633
0.2,0.5,0.0,0.0,0.2,0.1,0.372459
0.1,0.0,0.4,0.0,0.0,0.5,0.403217
0.0,0.3,0.0,0.4,0.1,0.2,0.4337229999999999
0.5,0.1,0.2,0.2,0.0,0.0,0.391735
0.0,0.0,0.0,0.7,0.1,0.2,0.4492
0.1,0.8,0.0,0.0,0.1,0.0,0.404796
0.0,0.4,0.2,0.3,0.1,0.0,0.374933
0.0,0.3,0.2,0.0,0.4,0.1,0.410992
0.3,0.0,0.4,0.1,0.2,0.0,0.426295
0.0,0.0,0.5,0.4,0.1,0.0,0.462527
0.0,0.6,0.1,0.2,0.0,0.1,0.420419
0.0,0.2,0.1,0.4,0.3,0.0,0.368312
0.4,0.1,0.3,0.2,0.0,0.0,0.43103
0.3,0.0,0.3,0.1,0.0,0.3,0.475338
0.4,0.0,0.0,0.4,0.1,0.1,0.4324659999999999
0.2,0.1,0.0,0.1,0.6,0.0,0.385715
0.1,0.0,0.7,0.0,0.1,0.1,0.509391
0.7,0.1,0.0,0.0,0.1,0.1,0.358774
0.4,0.0,0.2,0.3,0.1,0.0,0.401488
0.5,0.0,0.0,0.0,0.0,0.5,0.475884
0.3,0.0,0.0,0.0,0.1,0.6,0.427364
0.3,0.0,0.0,0.0,0.3,0.4,0.415001
0.2,0.2,0.3,0.0,0.3,0.0,0.421064
0.5,0.1,0.3,0.0,0.1,0.0,0.397361
0.0,0.0,0.2,0.3,0.0,0.5,0.615582
0.0,0.4,0.5,0.1,0.0,0.0,0.455538
0.0,0.3,0.1,0.5,0.0,0.1,0.473605
0.0,0.1,0.3,0.6,0.0,0.0,0.501304
0.1,0.0,0.0,0.3,0.5,0.1,0.388388
0.0,0.4,0.3,0.1,0.0,0.2,0.43875
0.1,0.1,0.0,0.4,0.4,0.0,0.410941
0.1,0.0,0.0,0.5,0.2,0.2,0.424267
0.0,0.5,0.3,0.0,0.0,0.2,0.432042
0.2,0.0,0.0,0.1,0.1,0.6,0.413415
0.3,0.0,0.0,0.2,0.0,0.5,0.425217
0.0,0.0,0.2,0.5,0.0,0.3,0.554146
0.0,0.2,0.3,0.1,0.4,0.0,0.406401
0.0,0.4,0.2,0.0,0.1,0.3,0.423566
0.1,0.2,0.0,0.2,0.5,0.0,0.38634
0.0,0.5,0.0,0.0,0.1,0.4,0.447905
